Index,Manufacturer Part Number,Manufacturer Name,Description,Lead Time,Availability,Stock Status,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Customer Reference,Requested Part Number,Lead Weeks,Datasheet,Reference Designator,US Import Tariff,Note,Part Status,RoHS Status,REACH Status,Moisture Sensitivity Level (MSL),ECCN,HTSUS,Country of Origin,Environmental Information,Original Part numbers,Unit of Measure,Image,Product Notes
1,MFR-25FRF52-10K,YAGEO,RES 10K OHM 1% 1/4W AXIAL,,"197,132",In Stock,,10,10,Cut Tape (CT),13-MFR-25FRF52-10KCT-ND,0.04200,$0.42,1,,13-MFR-25FRF52-10KCT-ND,18,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,REACH Unaffected,Not Applicable,EAR99,8533.21.0090,Taiwan,,13-MFR-25FRF52-10KCT-ND,Each,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/002/365/910/MFR-25FRF52-10K_web%28640x640%29.jpg,
2,MFR-25FTE52-33K,YAGEO,RES 33K OHM 1% 1/4W AXIAL,,"4,576",In Stock,,10,10,Cut Tape (CT),13-MFR-25FTE52-33KCT-ND,0.04200,$0.42,1,,13-MFR-25FTE52-33KCT-ND,18,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,REACH Unaffected,Not Applicable,EAR99,8533.21.0090,Taiwan,,13-MFR-25FTE52-33KCT-ND,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2467/33k-Ohm-Axial-1%25-MFR.jpg,
3,MFR-25FRF52-1M,YAGEO,RES 1M OHM 1% 1/4W AXIAL,,"10,756",In Stock,,2,2,Cut Tape (CT),13-MFR-25FRF52-1MCT-ND,0.10000,$0.20,1,,13-MFR-25FRF52-1MCT-ND,18,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,REACH Unaffected,Not Applicable,EAR99,8533.21.0090,Taiwan,,13-MFR-25FRF52-1MCT-ND,Each,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/002/449/103/MFR-25FRF52-1M_web%28640x640%29.jpg,
4,MFR-25FBF52-100K,YAGEO,RES 100K OHM 1% 1/4W AXIAL,,"28,752",In Stock,,2,2,Bulk,100KXBK-ND,0.10000,$0.20,1,,100KXBK-ND,18,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,REACH Unaffected,Not Applicable,EAR99,8533.21.0090,China,,100KXBK-ND,Each,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/002/475/045/MFR-25FRF52-100K_web%28640x640%29.jpg,
5,MFR-25FBF52-82K,YAGEO,RES 82K OHM 1% 1/4W AXIAL,,"12,381",In Stock,,2,2,Bulk,13-MFR-25FBF52-82K-ND,0.10000,$0.20,1,,13-MFR-25FBF52-82K-ND,18,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,,N/A,,Active,ROHS3 Compliant,REACH Unaffected,Not Applicable,EAR99,8533.21.0090,Taiwan,,13-MFR-25FBF52-82K-ND,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2460/82k-Ohm-Axial-1%25-MFR.jpg,
6,MFR-25FBF52-15K,YAGEO,RES 15K OHM 1% 1/4W AXIAL,1 past due; estimated in-stock on 20-Jul-2026,0,Normally Stocking,,1,1,Bulk,15.0KXBK-ND,0.10000,$0.10,1,,15.0KXBK-ND,18,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,REACH Unaffected,Not Applicable,EAR99,8533.21.0090,China,,15.0KXBK-ND,Each,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/002/233/244/MFR-25FRF52-15K_web%28640x640%29.jpg,
7,MFR-25FTE52-4K7,YAGEO,RES 4.7K OHM 1% 1/4W AXIAL,,"3,565",In Stock,,1,1,Cut Tape (CT),13-MFR-25FTE52-4K7CT-ND,0.10000,$0.10,1,,13-MFR-25FTE52-4K7CT-ND,18,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,REACH Unaffected,Not Applicable,EAR99,8533.21.0090,Taiwan,,13-MFR-25FTE52-4K7CT-ND,Each,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/002/645/569/4%2C7k-Ohm-Axial-1%25-MFR_web%28640x640%29.jpg,
8,MFR-25FTE52-22K,YAGEO,RES 22K OHM 1% 1/4W AXIAL,,502,In Stock,,1,1,Cut Tape (CT),13-MFR-25FTE52-22KCT-ND,0.10000,$0.10,1,,13-MFR-25FTE52-22KCT-ND,18,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,REACH Unaffected,Not Applicable,EAR99,8533.21.0090,Taiwan,,13-MFR-25FTE52-22KCT-ND,Each,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/002/642/617/22k-Ohm-Axial-1%25-MFR_web%28640x640%29.jpg,
9,1N4148,onsemi,DIODE STANDARD 100V 200MA DO35,,"913,107",In Stock,,1,1,Bulk,1N4148FS-ND,0.10000,$0.10,1,,1N4148FS-ND,62,https://www.onsemi.com/pub/Collateral/1N914-D.PDF,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,REACH Unaffected,Not Applicable,EAR99,8541.10.0070,China,https://www.onsemi.com/site/pdf/RoHS-statement.pdf|https://www.onsemi.com/PowerSolutions/MaterialComposition.do?export=pdf&opnId=1N4148,1N4148FS-ND,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/649/1N5229BFS.jpg,
10,LM358P,Texas Instruments,IC OPAMP GP 2 CIRCUIT 8DIP,,"33,767",In Stock,,3,3,Tube,296-1395-5-ND,0.33000,$0.99,1,,296-1395-5-ND,16,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flm358,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,REACH Unaffected,Not Applicable,EAR99,8542.33.0001,China,,296-1395-5-ND,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/6222/296%7E4040082%7EP%7E8.jpg,
11,MFR-25FBF52-2K,YAGEO,RES 2K OHM 1% 1/4W AXIAL,,"9,476",In Stock,,1,1,Bulk,2.00KXBK-ND,0.10000,$0.10,1,,2.00KXBK-ND,18,https://yageogroup.com/content/Resource%20Library/Datasheet/YAGEO-MFR_DATASHEET.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,REACH Unaffected,Not Applicable,EAR99,8533.21.0090,China,,2.00KXBK-ND,Each,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/002/298/338/MFR-25FRF52-2K_web%28640x640%29.jpg,
12,K104K15X7RF5TL2,Vishay Beyschlag/Draloric/BC Components,CAP CER 0.1UF 50V X7R RADIAL,,"224,231",In Stock,,10,10,Cut Tape (CT),BC1084CT-ND,0.16700,$1.67,1,,BC1084CT-ND,18,https://www.vishay.com/docs/45171/kseries.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,REACH Unaffected,Not Applicable,EAR99,8532.24.0060,China,https://www.vishay.com/en/quality/,BC1084CT-ND,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4847/56_K102K15X7RF5TL2.jpg,
13,A103K15X7RF5TAA,Vishay Beyschlag/Draloric/BC Components,CAP CER 10000PF 50V X7R AXIAL,,"135,945",In Stock,,2,2,Cut Tape (CT),1103PHCT-ND,0.26000,$0.52,1,,1103PHCT-ND,18,https://www.vishay.com/docs/45164/aseries.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,REACH Unaffected,Not Applicable,EAR99,8532.24.0040,China,,1103PHCT-ND,Each,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/591/A152K15X7RF5TAA.jpg,
14,50YXJ10M5X11,Rubycon,CAP ALUM 10UF 20% 50V RADIAL TH,,"30,784",In Stock,,2,2,Bulk,1189-2322-ND,0.32000,$0.64,1,,1189-2322-ND,31,https://www.rubycon.co.jp/wp-content/uploads/catalog-aluminum/YXJ.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,REACH Unaffected,Not Applicable,EAR99,8532.22.0020,Indonesia,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/8961/Rubycon%20CA%20Prop%2065%20Statement.pdf,1189-2322-ND,Each,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/002/682/321/YXJ%20Series%205x11_web%28640x640%29.jpg,
15,FG14X7R1H224KNT00,TDK,CAP CER 0.22UF 50V X7R RADIAL,,"5,631",In Stock,,1,1,Bulk,445-181223-ND,0.28000,$0.28,1,,445-181223-ND,24,https://product.tdk.com/en/system/files/dam/doc/product/capacitor/ceramic/lead-mlcc/catalog/leadmlcc_halogenfree_fg_en.pdf,,May apply on shipments to the U.S.,,Active,ROHS3 Compliant,REACH Unaffected,Not Applicable,EAR99,8532.24.0060,China,https://product.tdk.com/en/environment/index.html,445-181223-ND,Each,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/002/328/068/FG28_Type_web%28640x640%29.jpg,
