Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,KiLib_Generator,Sim.Device,Sim.Pins
"C1, C9",2,10uF,CP_Radial_D5.0mm_P2.00mm,,,,tht,Polarized capacitor,capacitor/THT/other,,
"C10, C11, C12, C2, C4, C5, C7",7,100nF,C_Disc_D5.0mm_W2.5mm_P2.50mm,,,,tht,Unpolarized capacitor,capacitor/THT/other,,
C3,1,220nF,C_Disc_D5.0mm_W2.5mm_P2.50mm,,,,tht,Unpolarized capacitor,capacitor/THT/other,,
"C6, C8",2,10nF,C_Disc_D5.0mm_W2.5mm_P2.50mm,,,,tht,Unpolarized capacitor,capacitor/THT/other,,
D1,1,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,,,,tht,"100V 0.15A standard switching diode, DO-35",diode/THT,D,1=K 2=A
J1,1,Conn_01x03,SolderWire-0.5sqmm_1x03_P4.6mm_D0.9mm_OD2.1mm,,,,tht,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",connector/wire,,
"J2, J3",2,Conn_01x15,PinHeader_1x15_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x15, script generated (kicad-library-utils/schlib/autogen/connector/)",connector/pin_header_socket,,
"R1, R10, R2, R7, R8, R9",6,10K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,,,tht,Resistor,resistor/THT,,
"R11, R13, R16",3,33k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,,,tht,Resistor,resistor/THT,,
R12,1,15k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,,,tht,Resistor,resistor/THT,,
R14,1,33K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,,,tht,Resistor,resistor/THT,,
"R15, R17",2,82k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,,,tht,Resistor,resistor/THT,,
R18,1,4.7k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,,,tht,Resistor,resistor/THT,,
R19,1,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,,,tht,Resistor,resistor/THT,,
R20,1,22K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,,,tht,Resistor,resistor/THT,,
"R3, R4",2,1M,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,,,tht,Resistor,resistor/THT,,
"R5, R6",2,100K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,,,tht,Resistor,resistor/THT,,
Rgain1,1,2K,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,,,tht,Resistor,resistor/THT,,
"U1, U2, U3",3,LM358,DIP-8_W7.62mm,,,,tht,"Low-Power, Dual Operational Amplifiers, DIP-8/SOIC-8/TO-99-8",package/DIP/legacy,,
