pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
166.955113,-107.8,180.0,top,C1,,,CP_Radial_D5.0mm_P2.00mm,10uF,tht
138.6,-71.65,90.0,top,C10,,,C_Disc_D5.0mm_W2.5mm_P2.50mm,100nF,tht
148.8,-71.65,90.0,top,C11,,,C_Disc_D5.0mm_W2.5mm_P2.50mm,100nF,tht
158.8,-71.65,90.0,top,C12,,,C_Disc_D5.0mm_W2.5mm_P2.50mm,100nF,tht
187.7,-83.6,90.0,top,C2,,,C_Disc_D5.0mm_W2.5mm_P2.50mm,100nF,tht
181.84,-83.65,90.0,top,C3,,,C_Disc_D5.0mm_W2.5mm_P2.50mm,220nF,tht
181.84,-74.7,-90.0,top,C4,,,C_Disc_D5.0mm_W2.5mm_P2.50mm,100nF,tht
161.54,-91.2,0.0,top,C5,,,C_Disc_D5.0mm_W2.5mm_P2.50mm,100nF,tht
167.94,-91.2,0.0,top,C6,,,C_Disc_D5.0mm_W2.5mm_P2.50mm,10nF,tht
174.474113,-91.2,0.0,top,C7,,,C_Disc_D5.0mm_W2.5mm_P2.50mm,100nF,tht
180.94,-91.2,0.0,top,C8,,,C_Disc_D5.0mm_W2.5mm_P2.50mm,10nF,tht
192.6,-107.777202,180.0,top,C9,,,CP_Radial_D5.0mm_P2.00mm,10uF,tht
187.6,-77.62,90.0,top,D1,,,D_DO-35_SOD27_P7.62mm_Horizontal,1N4148,tht
167.24,-68.0,0.0,top,J1,,,SolderWire-0.5sqmm_1x03_P4.6mm_D0.9mm_OD2.1mm,Conn_01x03,tht
101.26,-72.14,0.0,top,J2,,,PinHeader_1x15_P2.54mm_Vertical,Conn_01x15,tht
126.66,-72.14,0.0,top,J3,,,PinHeader_1x15_P2.54mm_Vertical,Conn_01x15,tht
173.900457,-110.577202,0.0,top,R1,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,10K,tht
147.68,-105.6,0.0,top,R10,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,10K,tht
167.08,-84.2,0.0,top,R11,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,33k,tht
167.08,-74.8,0.0,top,R12,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,15k,tht
167.08,-79.4,0.0,top,R13,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,33k,tht
174.16,-96.2,0.0,top,R14,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,33K,tht
161.028689,-96.174591,0.0,top,R15,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,82k,tht
174.16,-101.0,0.0,top,R16,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,33k,tht
161.028689,-100.774591,0.0,top,R17,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,82k,tht
187.46,-91.4,0.0,top,R18,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4.7k,tht
187.34,-96.2,0.0,top,R19,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,10k,tht
174.020457,-105.577202,0.0,top,R2,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,10K,tht
187.34,-101.0,0.0,top,R20,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,22K,tht
134.48,-91.2,0.0,top,R3,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1M,tht
134.48,-96.2,0.0,top,R4,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1M,tht
134.36,-101.0,0.0,top,R5,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,100K,tht
134.36,-105.6,0.0,top,R6,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,100K,tht
147.64,-91.2,0.0,top,R7,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,10K,tht
147.64,-96.2,0.0,top,R8,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,10K,tht
147.68,-101.0,0.0,top,R9,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,10K,tht
147.64,-110.2,0.0,top,Rgain1,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2K,tht
134.835,-76.12,0.0,top,U1,,,DIP-8_W7.62mm,LM358,tht
145.03,-76.12,0.0,top,U2,,,DIP-8_W7.62mm,LM358,tht
155.225265,-76.119999,0.0,top,U3,,,DIP-8_W7.62mm,LM358,tht
